n0 (1/cm^2),t (s),noisy cell (mol/m^3)
250000000,7200,25508609265896.34
250000000,14400,61399684568044.84
250000000,21600,39314746256472.28
250000000,28800,105105722045740.5
250000000,36000,87783776022548.6
250000000,43200,44877213424570.45
250000000,50400,99211740984229.58
250000000,57600,125880054415315.38
250000000,64800,80382571617081.58
250000000,72000,97455508176796.17
250000000,79200,80988862925934.06
250000000,86400,57974828337961.72
250000000,93600,80767285372946.1
250000000,100800,100823163723095.44
250000000,108000,144003877490673.53
250000000,115200,71561222558858.22
250000000,122400,72100346207169.3
250000000,129600,57998848645449.74
250000000,136800,32210905353844.023
250000000,144000,63395845894341.945
250000000,151200,26481693494087.285
250000000,158400,26232498594683.27
250000000,165600,19530337884355.812
250000000,172800,31834451993495.133
250000000,187200,16431070841727.209
250000000,201600,14389254262139.266
250000000,216000,25528638426387.223
250000000,230400,13419376909240.129
250000000,244800,3336906905930.237
250000000,259200,13443912650905.92
250000000,273600,4283169402561.555
250000000,288000,4971111818627.366
250000000,302400,4338828160858.0874
250000000,316800,1289727236905.914
250000000,331200,2847366189230.4316
250000000,345600,3238176317142.269
500000000,7200,69426472439451.2
500000000,14400,113619315335571.62
500000000,21600,119488633262402.08
500000000,28800,123838589140850.33
500000000,36000,194681696829705.78
500000000,43200,149450050728760.6
500000000,50400,186658878610618.44
500000000,57600,146108261199258.75
500000000,64800,135289939405300.0
500000000,72000,113943538813875.84
500000000,79200,140814769672349.16
500000000,86400,107114436626535.86
500000000,93600,114924179530837.33
500000000,100800,82774840999777.33
500000000,108000,101214675403627.84
500000000,115200,85407185431779.88
500000000,122400,70549009875423.7
500000000,129600,34584714076357.28
500000000,136800,54158172777663.445
500000000,144000,55012402026062.77
500000000,151200,56078231900772.695
500000000,158400,40003821781933.68
500000000,165600,40640288215336.27
500000000,172800,20510692581674.934
500000000,187200,31302754792212.61
500000000,201600,15189244564859.732
500000000,216000,17647531060061.27
500000000,230400,9483303387814.066
500000000,244800,15362934970121.629
500000000,259200,7317146957287.633
500000000,273600,7917375915899.092
500000000,288000,5884808245462.95
500000000,302400,4621602659390.695
500000000,316800,4138234970142.4185
500000000,331200,2420806938472.21
500000000,345600,2848736622175.7695
1000000000,7200,64412780766710.6
1000000000,14400,206692630761307.94
1000000000,21600,231313001446996.2
1000000000,28800,136888665904446.45
1000000000,36000,166748995886455.78
1000000000,43200,239264760265632.6
1000000000,50400,131208621465502.97
1000000000,57600,183785066297654.22
1000000000,64800,130580396159127.75
1000000000,72000,96000595908622.89
1000000000,79200,129675250841205.77
1000000000,86400,47627803837319.15
1000000000,93600,103879200390090.45
1000000000,100800,61961194376680.41
1000000000,108000,65813989116597.195
1000000000,115200,88652066448583.58
1000000000,122400,59551146774587.6
1000000000,129600,49710474755123.664
1000000000,136800,47890629949337.484
1000000000,144000,46953338708863.86
1000000000,151200,45749285836972.555
1000000000,158400,50057845616647.89
1000000000,165600,22143109506187.918
1000000000,172800,27415811811097.863
1000000000,187200,16182788132183.412
1000000000,201600,21330241347090.76
1000000000,216000,8762637560288.82
1000000000,230400,7712695084366.967
1000000000,244800,8627767323285.694
1000000000,259200,4734666141936.87
1000000000,273600,5195529018893.507
1000000000,288000,4707519567799.309
1000000000,302400,4288772853885.0605
1000000000,316800,4384227250862.6333
1000000000,331200,1699329901103.089
1000000000,345600,1819651534326.9143
2000000000,7200,155188933821765.2
2000000000,14400,190132244092468.97
2000000000,21600,126015619377622.17
2000000000,28800,168787593644242.8
2000000000,36000,215821268000131.97
2000000000,43200,270937508428172.8
2000000000,50400,111701123459719.92
2000000000,57600,88269734100053.66
2000000000,64800,172405097508780.75
2000000000,72000,112130330206335.42
2000000000,79200,90791627684692.47
2000000000,86400,124522813921673.66
2000000000,93600,118486914524388.75
2000000000,100800,73389562002618.16
2000000000,108000,82341007803220.94
2000000000,115200,75730147766127.0
2000000000,122400,40464883289738.12
2000000000,129600,47520350112614.08
2000000000,136800,37694117788512.4
2000000000,144000,36980495937626.54
2000000000,151200,18807890162762.098
2000000000,158400,45129598993707.18
2000000000,165600,17172151406937.418
2000000000,172800,22598130671131.492
2000000000,187200,8995613141933.89
2000000000,201600,18920489658601.09
2000000000,216000,20657143844051.332
2000000000,230400,11580710530682.95
2000000000,244800,11546096275700.102
2000000000,259200,4116532618117.972
2000000000,273600,5636278847914.539
2000000000,288000,3816208327201.5444
2000000000,302400,4397398285131.274
2000000000,316800,1520686184109.0715
2000000000,331200,2381748318118.2695
2000000000,345600,2331158821263.2256
4000000000,7200,387656187226850.2
4000000000,14400,150540243273853.75
4000000000,21600,312446296645633.25
4000000000,28800,167680396152316.1
4000000000,36000,143284769949286.06
4000000000,43200,262236038352577.56
4000000000,50400,217209513879224.1
4000000000,57600,198099264129852.34
4000000000,64800,188436534601017.28
4000000000,72000,124820583370339.31
4000000000,79200,104677800349292.72
4000000000,86400,83345548090821.64
4000000000,93600,126039533914282.28
4000000000,100800,27956918908517.27
4000000000,108000,78141029545986.44
4000000000,115200,60467518597842.76
4000000000,122400,67819091183367.26
4000000000,129600,90628526123221.02
4000000000,136800,70077880585764.49
4000000000,144000,24988803046704.03
4000000000,151200,29359011379914.01
4000000000,158400,29395570717864.58
4000000000,165600,27364434739977.33
4000000000,172800,34292738337915.93
4000000000,187200,26819219208810.055
4000000000,201600,12644909510009.441
4000000000,216000,17803626181844.777
4000000000,230400,13999837669511.713
4000000000,244800,6854083632938.628
4000000000,259200,10880822556914.334
4000000000,273600,6111395205425.609
4000000000,288000,4122317079255.181
4000000000,302400,3307814343295.461
4000000000,316800,2909377787992.876
4000000000,331200,3356963351226.673
4000000000,345600,2354686657178.118
