n0 (1/cm^2),t (s),noisy cell (mol/m^3)
250000000,7200,31711679227632.43
250000000,14400,59525031823556.31
250000000,21600,68261627397262.02
250000000,28800,103964142445213.42
250000000,36000,124755441408907.95
250000000,43200,145629227774675.3
250000000,50400,139768812813489.03
250000000,57600,138413716803642.1
250000000,64800,138019981516478.72
250000000,72000,137436602100541.72
250000000,79200,112807248206117.72
250000000,86400,110143293426664.28
250000000,93600,79589109154895.95
250000000,100800,88817489588562.64
250000000,108000,84497021822987.52
250000000,115200,66122299150437.41
250000000,122400,64165755605799.59
250000000,129600,60557952658342.766
250000000,136800,45034599136204.0
250000000,144000,51527697833992.6
250000000,151200,41612085274211.48
250000000,158400,37328553553408.375
250000000,165600,34175418140657.72
250000000,172800,27935697804350.83
250000000,187200,28126859432589.2
250000000,201600,21240150938788.344
250000000,216000,13669452020686.525
250000000,230400,12689373390605.832
250000000,244800,11631972093770.748
250000000,259200,11231094802478.385
250000000,273600,7437612160229.111
250000000,288000,5882109363739.888
250000000,302400,3967968407836.6377
250000000,316800,3875553049680.9385
250000000,331200,2912451359989.5464
250000000,345600,2059450367238.4282
500000000,7200,41528938183036.13
500000000,14400,99067324855000.2
500000000,21600,122494656287726.4
500000000,28800,113148528403604.5
500000000,36000,131026389662470.12
500000000,43200,171465168650522.25
500000000,50400,160887628698634.34
500000000,57600,157350079056253.38
500000000,64800,145186953285479.4
500000000,72000,109425845650775.14
500000000,79200,123384762619222.42
500000000,86400,110175718886270.8
500000000,93600,83716572702668.55
500000000,100800,81782212154858.67
500000000,108000,67329925844477.38
500000000,115200,65464351022690.18
500000000,122400,52717408329030.0
500000000,129600,56909139795572.49
500000000,136800,60598985062727.74
500000000,144000,45042977629763.58
500000000,151200,41073260145631.5
500000000,158400,33632772136215.84
500000000,165600,29036222997668.293
500000000,172800,25401310388600.555
500000000,187200,22649336954311.504
500000000,201600,15813173009441.064
500000000,216000,16237238897401.406
500000000,230400,11128214193069.877
500000000,244800,9822905621858.545
500000000,259200,7007955663709.493
500000000,273600,6196766067359.728
500000000,288000,4814027409161.057
500000000,302400,3739278241710.664
500000000,316800,3145244547172.288
500000000,331200,2409612867776.1997
500000000,345600,1864968162690.089
1000000000,7200,125118077325523.78
1000000000,14400,139723332400977.4
1000000000,21600,150036847372754.94
1000000000,28800,160088957889886.03
1000000000,36000,175517257691063.38
1000000000,43200,142037465339850.62
1000000000,50400,172564217051960.03
1000000000,57600,132726498205522.27
1000000000,64800,120154130047150.14
1000000000,72000,104721182746802.64
1000000000,79200,94374496157799.88
1000000000,86400,107545781036360.9
1000000000,93600,84155380389673.42
1000000000,100800,75745684712421.05
1000000000,108000,71008402401724.11
1000000000,115200,65578670533854.05
1000000000,122400,59656325591259.48
1000000000,129600,45899002539676.484
1000000000,136800,44829834415431.85
1000000000,144000,37753760987076.63
1000000000,151200,37096380263214.99
1000000000,158400,31892121144851.39
1000000000,165600,31208649705058.082
1000000000,172800,25494390564984.688
1000000000,187200,24455233612824.367
1000000000,201600,13947055592217.053
1000000000,216000,14279093092911.87
1000000000,230400,10554023185431.033
1000000000,244800,8331610377432.698
1000000000,259200,6651930675246.004
1000000000,273600,6398248729655.392
1000000000,288000,4324496928341.631
1000000000,302400,3932019938062.1387
1000000000,316800,3182815846708.082
1000000000,331200,2518743878486.803
1000000000,345600,1933027558348.978
2000000000,7200,193133341514451.1
2000000000,14400,220003624586807.9
2000000000,21600,194145214724522.6
