n0 (1/cm^2),t (s),noisy cell (mol/m^3)
2000000000,28800,223272899811226.38
2000000000,36000,180389872060524.5
2000000000,43200,164434959345117.44
2000000000,50400,134290028571745.7
2000000000,57600,149420170125301.34
2000000000,64800,125244924564371.73
2000000000,72000,113468085434666.6
2000000000,79200,103150933241072.64
2000000000,86400,87017726329926.19
2000000000,93600,96241177604955.9
2000000000,100800,58138959067366.34
2000000000,108000,64764435955269.266
2000000000,115200,57681004835478.61
2000000000,122400,45311480706571.67
2000000000,129600,45388578949691.12
2000000000,136800,47960928035060.945
2000000000,144000,41845472815088.74
2000000000,151200,33548539911133.46
2000000000,158400,33564258953574.12
2000000000,165600,23041201783866.496
2000000000,172800,24976833028399.48
2000000000,187200,22206854251732.98
2000000000,201600,15514845698998.922
2000000000,216000,12684597533677.37
2000000000,230400,10563105411881.977
2000000000,244800,9023831716218.809
2000000000,259200,6442327086701.74
2000000000,273600,6289267603406.159
2000000000,288000,4349462976688.551
2000000000,302400,3678900228675.08
2000000000,316800,2958963607196.8506
2000000000,331200,2227251749093.4375
2000000000,345600,1708361643446.3257
4000000000,7200,238608237583321.38
4000000000,14400,261434014630617.06
4000000000,21600,300303719650221.0
4000000000,28800,261792875995360.5
4000000000,36000,186914261218010.34
4000000000,43200,167223221869520.38
4000000000,50400,172973296697476.7
4000000000,57600,164728080340955.12
4000000000,64800,148224272904962.1
4000000000,72000,126107511588579.25
4000000000,79200,113974039873695.3
4000000000,86400,116320369890729.03
4000000000,93600,88588714833344.03
4000000000,100800,80969784491812.94
4000000000,108000,69755732617104.07
4000000000,115200,73801393629137.78
4000000000,122400,62937960972825.33
4000000000,129600,50045370280480.62
4000000000,136800,45129661856831.125
4000000000,144000,44107582092332.66
4000000000,151200,36858336181538.01
4000000000,158400,35487460006086.92
4000000000,165600,29523386038024.227
4000000000,172800,19729655238366.777
4000000000,187200,22567361639771.023
4000000000,201600,21364514724109.55
4000000000,216000,13247904116110.002
4000000000,230400,12053352133472.363
4000000000,244800,9952377852117.916
4000000000,259200,6985806569636.5205
4000000000,273600,5812671995904.276
4000000000,288000,5140740442148.219
4000000000,302400,2872337747739.427
4000000000,316800,2770264766928.5337
4000000000,331200,2827785166942.5703
4000000000,345600,1860937844850.5447
