n0 (1/cm^2),t (s),noisy glucose (mol/m^3),noisy lactate (mol/m^3),noisy oxygen (mol/m^3)
250000000,28800,10.691015068124473,15.203389801538934,0.1680339605353201
250000000,57600,8.555872712706197,29.873550744206394,0.0742426735210474
250000000,86400,2.727134636215051,58.68866426393172,0.026726177083804772
250000000,115200,1.6960511579992017,41.43912656633667,0.010277056156494293
250000000,144000,1.1574158924445523,57.54053581261147,0.008127717116816077
250000000,172800,0.6123496733149195,34.22099470348097,0.004594526143861159
250000000,259200,0.3139018181917329,46.32326761543655,0.002840628232215656
250000000,345600,0.37557550915583965,33.44249371871069,0.0025680829147064505
500000000,28800,11.124395322000733,18.73476624666107,0.12714269120281355
500000000,57600,4.154407645268565,36.29712026280863,0.02943617835111621
500000000,86400,1.4406248400657768,41.79833528200439,0.012448380929713239
500000000,115200,1.1337476466651926,43.022575802387706,0.007860359310549946
500000000,144000,0.8071032496792293,65.60599105567697,0.005178289941638103
500000000,172800,0.6086608632610752,23.09004055235217,0.002950233687570838
500000000,259200,0.4084382876633573,44.460829110847456,0.003030884353634187
500000000,345600,0.35535833436139536,34.464915559520875,0.002076626392724402
1000000000,28800,12.035200779070424,25.09149657871427,0.11830978972730587
1000000000,57600,3.7306718944023345,29.57920815296509,0.027556870080540176
1000000000,86400,1.378616684652938,53.802917200302986,0.010420528551640043
1000000000,115200,0.5221476230419047,24.092424683872622,0.006066698604967579
1000000000,144000,0.7243211646770537,55.36566510938238,0.002847375205195321
1000000000,172800,0.40977592611520613,38.7015622158812,0.0023621862909305688
1000000000,259200,0.34709426610291527,46.406521686628274,0.001836456368991842
1000000000,345600,0.4281141011468724,55.47479866429964,0.0016608420422608546
2000000000,28800,4.697385701629572,37.22692684110726,0.058934508295744086
2000000000,57600,1.9728058977824245,38.06088774800653,0.019985512437731355
2000000000,86400,1.2425177276258152,47.24904203665813,0.003008500310981775
2000000000,115200,0.4557267128820168,55.75529084683327,0.002677508198337717
2000000000,144000,0.38467950012603497,57.322553328706924,0.0015790763623433172
2000000000,172800,0.36597912627649104,54.22420725058522,0.001529753177830694
2000000000,259200,0.1906177730593097,59.05151598975235,0.0008176383788134863
2000000000,345600,0.18861689003493384,53.00948150170054,0.0007886055553413034
4000000000,28800,3.138843852803445,41.52962283209437,0.04321618777839788
4000000000,57600,0.5899918182055198,55.856527381862186,0.006772582796403748
4000000000,86400,0.3702850461838897,51.147470776192336,0.0018423817078122666
4000000000,115200,0.14166042669270446,46.405747181335336,0.0008390514694236333
4000000000,144000,0.10408383477574994,40.39091915897908,0.0007394866648332721
4000000000,172800,0.11209702391671972,52.58269987338552,0.00045014956250979764
4000000000,259200,0.06773987433648597,54.28467175350751,0.00020719369212284191
4000000000,345600,0.0595127041850761,67.20797525629041,0.0002941702795758901
