n0 (1/cm^2),t (s),noisy cell (mol/m^3)
250000000,7200,21690524474496.85
250000000,14400,33066877746371.926
250000000,21600,93327736817174.34
250000000,28800,164259975010372.25
250000000,36000,44284049475746.336
250000000,43200,223862041217038.6
250000000,50400,215507856416640.44
250000000,57600,122839352319310.66
250000000,64800,99158138437626.14
250000000,72000,110282644628890.75
250000000,79200,112670980071568.55
250000000,86400,120023579411279.0
250000000,93600,140606016919542.4
250000000,100800,108585038515608.69
250000000,108000,79717780877047.6
250000000,115200,55274298574862.13
250000000,122400,34551067436184.69
250000000,129600,69069945325414.65
250000000,136800,37932656349672.93
250000000,144000,60822798835316.164
250000000,151200,46266230008011.695
250000000,158400,21121954259146.875
250000000,165600,18799540211177.88
250000000,172800,38222214394810.67
250000000,187200,30462200557556.8
250000000,201600,26902013445330.684
250000000,216000,21852861018696.117
250000000,230400,10446326422100.4
250000000,244800,3868687579929.4556
250000000,259200,9619463788700.682
250000000,273600,9145552778401.693
250000000,288000,7273163626131.313
250000000,302400,4677496540236.287
250000000,316800,4300386090953.166
250000000,331200,2721302240401.785
250000000,345600,2138991412142.805
500000000,7200,48325449948752.06
500000000,14400,97643884804766.9
500000000,21600,201157774466581.75
500000000,28800,124955822858259.3
500000000,36000,144789735858596.16
500000000,43200,111243806067240.66
500000000,50400,256561903036214.94
500000000,57600,223689256516818.66
500000000,64800,123832995893677.97
500000000,72000,86581125546784.23
500000000,79200,38405779812115.164
500000000,86400,128730672360757.67
500000000,93600,50854474368576.93
500000000,100800,108623494031205.73
500000000,108000,49783430125459.2
500000000,115200,55372501861743.66
500000000,122400,98257498178264.77
500000000,129600,40114045881006.21
500000000,136800,57863225141172.586
500000000,144000,59900035442693.7
500000000,151200,37269992088487.23
500000000,158400,29011784783817.84
500000000,165600,20579934842196.543
500000000,172800,29544071646951.9
500000000,187200,21739409858210.27
500000000,201600,35220054318112.67
500000000,216000,18221041241245.406
500000000,230400,19069036060888.113
500000000,244800,13481864631956.99
500000000,259200,3296584756230.2715
500000000,273600,5732890156124.521
500000000,288000,5897302362394.443
500000000,302400,5746618846148.607
500000000,316800,2492068824937.7974
500000000,331200,2684694570547.2495
500000000,345600,2947903411507.8047
1000000000,7200,99630187884658.88
1000000000,14400,125628100646650.39
1000000000,21600,137705094729621.36
1000000000,28800,197014114665803.88
1000000000,36000,242921468407144.97
1000000000,43200,169296640115470.7
1000000000,50400,78986734910244.95
1000000000,57600,127148020390855.72
1000000000,64800,160096129195364.53
1000000000,72000,119419612170818.39
1000000000,79200,118202398657544.62
1000000000,86400,82755937387222.9
1000000000,93600,94766128344653.4
1000000000,100800,99488120793037.66
1000000000,108000,126449570012819.98
1000000000,115200,109493778464606.19
1000000000,122400,45034126319013.94
1000000000,129600,39324004761855.734
1000000000,136800,68096282743022.14
1000000000,144000,31373050699179.14
1000000000,151200,28281342523548.44
1000000000,158400,32234522322280.895
1000000000,165600,25858635785845.85
1000000000,172800,19414928654409.89
1000000000,187200,27080973638426.09
1000000000,201600,21500616766568.414
1000000000,216000,16819368093327.102
1000000000,230400,10750400156829.854
1000000000,244800,11466728090470.65
1000000000,259200,12726883545299.844
1000000000,273600,7206243858692.756
1000000000,288000,5045557841595.41
1000000000,302400,2832205675052.2676
1000000000,316800,3200598241175.6694
1000000000,331200,2742260920077.5757
1000000000,345600,1650775173709.1826
2000000000,7200,88329398578304.53
2000000000,14400,260650621600120.6
2000000000,21600,311216524394775.2
2000000000,28800,198401111162150.44
2000000000,36000,115521998614685.92
2000000000,43200,104672381425374.2
2000000000,50400,25538087051158.117
2000000000,57600,205207237306397.8
2000000000,64800,231022736617163.06
2000000000,72000,101565817355968.27
2000000000,79200,144965297129412.62
2000000000,86400,17550106494754.55
2000000000,93600,68376518931691.1
2000000000,100800,93951492998160.38
2000000000,108000,105765768187219.33
2000000000,115200,56368389967939.29
2000000000,122400,61447466169580.16
2000000000,129600,58123358182988.58
2000000000,136800,48479260989299.49
2000000000,144000,58820979851164.65
2000000000,151200,67911996227567.836
2000000000,158400,74925889577561.45
2000000000,165600,40563580871973.03
2000000000,172800,14136160560457.133
2000000000,187200,14540103805286.24
2000000000,201600,17591751545836.816
2000000000,216000,3362567206404.4604
2000000000,230400,14827208887387.38
2000000000,244800,8151080492365.288
2000000000,259200,4390381237670.8247
2000000000,273600,7399987958930.929
2000000000,288000,5242706075333.498
2000000000,302400,6145796066876.1045
2000000000,316800,2588482402293.0913
2000000000,331200,1068786887402.9244
2000000000,345600,2323946545517.196
4000000000,7200,302699039986409.56
4000000000,14400,295069355050746.3
4000000000,21600,153856874070367.84
4000000000,28800,233626216095425.25
4000000000,36000,113682816490676.9
4000000000,43200,215174615314898.3
4000000000,50400,92921837437393.42
4000000000,57600,180607984439289.88
4000000000,64800,196283083772685.38
4000000000,72000,121956779768431.25
4000000000,79200,111578846869213.02
4000000000,86400,117285950118582.73
4000000000,93600,68159592412878.79
4000000000,100800,70422641623519.7
4000000000,108000,23480059771689.312
4000000000,115200,49712401947347.33
4000000000,122400,51922659551097.6
4000000000,129600,79766142270477.11
4000000000,136800,23495051549409.258
4000000000,144000,57199545259975.16
4000000000,151200,20048405928722.85
4000000000,158400,50321161203195.55
4000000000,165600,22899233085086.5
4000000000,172800,36484874508814.27
4000000000,187200,14521527916349.955
4000000000,201600,15686769875708.951
4000000000,216000,4676566605998.982
4000000000,230400,19864848729902.965
4000000000,244800,5740115589205.828
4000000000,259200,3011900268449.692
4000000000,273600,3975725459304.3135
4000000000,288000,5455487442760.649
4000000000,302400,3150062462983.1553
4000000000,316800,3004482532145.6597
4000000000,331200,1085149200906.7283
4000000000,345600,728840065474.5781
