n0 (1/cm^2),t (s),noisy cell (mol/m^3)
250000000,7200,32117754897243.977
250000000,14400,54853534997298.02
250000000,21600,81160815484982.67
250000000,28800,105039579771034.31
250000000,36000,122479263171246.52
250000000,43200,132577337240134.69
250000000,50400,136227011515858.77
250000000,57600,134897340871650.14
250000000,64800,130062553737580.58
250000000,72000,122989493902075.2
250000000,79200,114671809063956.44
250000000,86400,105832232082110.23
250000000,93600,96959998865433.62
250000000,100800,88364031943745.83
250000000,108000,80224221187019.48
250000000,115200,72633271810423.34
250000000,122400,65627805923963.05
250000000,129600,59209376357521.72
250000000,136800,53358726556108.28
250000000,144000,48045108472530.04
250000000,151200,43232211247951.29
250000000,158400,38881518493225.05
250000000,165600,34954504842157.89
250000000,172800,31413948831200.32
250000000,187200,25353767975039.98
250000000,201600,20448205663814.727
250000000,216000,16483705186288.926
250000000,230400,13283186219737.305
250000000,244800,10701379697725.1
250000000,259200,8619824757645.758
250000000,273600,6942200295943.494
250000000,288000,5590462090491.539
250000000,302400,4501552537986.265
250000000,316800,3624519159486.825
250000000,331200,2918212529578.2163
250000000,345600,2349444661233.5493
500000000,7200,59831727785949.59
500000000,14400,90130951097653.62
500000000,21600,116268782740705.69
500000000,28800,133990940873842.77
500000000,36000,143144975569530.66
500000000,43200,145322191676914.75
500000000,50400,142416138947261.22
500000000,57600,136118553173990.31
500000000,64800,127791769538956.1
500000000,72000,118450857846158.7
500000000,79200,108802158983788.36
500000000,86400,99301739442183.95
500000000,93600,90222040320445.38
500000000,100800,81709886724158.53
500000000,108000,73830970784514.22
500000000,115200,66600978759360.57
500000000,122400,60005657522397.59
500000000,129600,54014396088597.17
500000000,136800,48588003281999.59
500000000,144000,43683825286279.13
500000000,151200,39258655367938.74
500000000,158400,35270464759282.41
500000000,165600,31679360546796.68
500000000,172800,28448005420422.57
500000000,187200,22929667251869.83
500000000,201600,18473365093788.863
500000000,216000,14878450341458.36
500000000,230400,11980197779802.98
500000000,244800,9645109892964.31
500000000,259200,7764273759533.825
500000000,273600,6249595964983.729
500000000,288000,5030008080464.352
500000000,302400,4048141247886.5537
500000000,316800,3257815354461.331
500000000,331200,2621723229040.53
500000000,345600,2109766414092.4275
1000000000,7200,106373990500818.6
1000000000,14400,137533977723207.8
1000000000,21600,155806275311149.44
1000000000,28800,163125829899348.6
1000000000,36000,162583932135011.97
1000000000,43200,156844760162999.2
1000000000,50400,147958281683592.5
1000000000,57600,137428051448116.95
1000000000,64800,126291441241475.88
1000000000,72000,115213571211119.31
1000000000,79200,104585832175285.23
1000000000,86400,94616228727148.84
1000000000,93600,85396972727964.06
1000000000,100800,76950303398083.16
1000000000,108000,69259084494121.88
1000000000,115200,62284835312275.75
1000000000,122400,55978840093044.78
1000000000,129600,50288559183840.18
1000000000,136800,45161256958668.95
1000000000,144000,40546092243870.4
1000000000,151200,36395072406128.47
1000000000,158400,32663758997087.93
1000000000,165600,29311169812918.074
1000000000,172800,26299918484277.85
1000000000,187200,21168809697748.16
1000000000,201600,17034862832080.238
1000000000,216000,13705777636674.975
1000000000,230400,11026130504868.176
1000000000,244800,8869667837693.967
1000000000,259200,7134558687065.576
1000000000,273600,5738554566731.236
1000000000,288000,4615471175864.664
1000000000,302400,3712097257262.1167
1000000000,316800,2985495929878.5986
1000000000,331200,2401061065357.158
1000000000,345600,1931001356074.3645
2000000000,7200,178503680771518.0
2000000000,14400,197698578004264.47
2000000000,21600,201092704139011.9
2000000000,28800,195399510180216.8
2000000000,36000,184593899182268.1
2000000000,43200,171221659148269.4
2000000000,50400,156930725172262.28
2000000000,57600,142729843826153.1
2000000000,64800,129179617465651.78
2000000000,72000,116551177850173.58
2000000000,79200,104946805263903.52
2000000000,86400,94375902344630.95
2000000000,93600,84797516338028.38
2000000000,100800,76146692416569.64
2000000000,108000,68350982596123.92
2000000000,115200,61336203001912.42
