n0 (1/cm^2),t (s),noisy cell (mol/m^3)
2000000000,122400,55030099433981.04
2000000000,129600,49364788697050.02
2000000000,136800,44277609117295.8
2000000000,144000,39711297250847.56
2000000000,151200,35613420169811.75
2000000000,158400,31936632819534.547
2000000000,165600,28638252284166.47
2000000000,172800,25679553223891.945
2000000000,187200,20645889051126.246
2000000000,201600,16597795200622.31
2000000000,216000,13342773716575.3
2000000000,230400,10725687756696.17
2000000000,244800,8621679029918.465
2000000000,259200,6930286395442.631
2000000000,273600,5570679774194.748
2000000000,288000,4477739185232.575
2000000000,302400,3599187189537.6562
2000000000,316800,2893033388388.607
2000000000,331200,2325391382468.547
2000000000,345600,1869117345405.3364
4000000000,7200,283610620628004.56
4000000000,14400,275677412501804.4
4000000000,21600,259158653123108.1
4000000000,28800,239006727042875.03
4000000000,36000,217816127554569.9
4000000000,43200,197100837747921.2
4000000000,50400,177634988608957.25
4000000000,57600,159731510268204.38
4000000000,64800,143453281432240.3
4000000000,72000,128743159209087.69
4000000000,79200,115494488287309.86
4000000000,86400,103583345294372.69
4000000000,93600,92886461453408.86
4000000000,100800,83286209704781.05
4000000000,108000,74673347185405.83
4000000000,115200,66948066956656.34
4000000000,122400,60020114578786.56
4000000000,129600,53807859690397.3
4000000000,136800,48237709730228.15
4000000000,144000,43243522989889.63
4000000000,151200,38766058363065.375
4000000000,158400,34751983866350.54
4000000000,165600,31153413559664.5
4000000000,172800,27927421334696.52
4000000000,187200,22443069237105.0
4000000000,201600,18035557232019.53
4000000000,216000,14493492638956.84
4000000000,230400,11647038091020.48
4000000000,244800,9359594011239.396
4000000000,259200,7521356657748.518
4000000000,273600,6044150438460.381
4000000000,288000,4857066640307.137
4000000000,302400,3903115733980.9937
4000000000,316800,3136529182505.6924
4000000000,331200,2520498440147.62
4000000000,345600,2025460065218.5413
