n0 (1/cm^2),t (s),noisy glucose (mol/m^3),noisy lactate (mol/m^3),noisy oxygen (mol/m^3)
250000000,28800,15.258662438593886,11.85485380502068,0.1782149691549908
250000000,57600,8.595643194911709,35.05608191434919,0.06013470261851394
250000000,86400,3.695037527642679,50.06691649994145,0.029160474368931634
250000000,115200,1.9269846163118383,22.586272820509524,0.009716558236637193
250000000,144000,0.8878024595011648,41.66013989663515,0.00695686922183211
250000000,172800,0.5230548272338709,42.013895246204626,0.002852865608070492
250000000,259200,0.471774617111932,36.264373224942936,0.002552365867063789
250000000,345600,0.36113331129543935,50.82425687603717,0.0014486128839588423
500000000,28800,11.585986712145827,19.92480559131721,0.11644587467683859
500000000,57600,4.981171286216525,42.03656270271705,0.05601044283146733
500000000,86400,1.8881196484888239,59.62715699072644,0.017016361758630232
500000000,115200,1.2964673125527113,61.08801355598944,0.009931598236639982
500000000,144000,0.7046302653789719,70.95927527742744,0.004627422572428569
500000000,172800,0.7744445027490278,47.42405719553166,0.0035996735840911095
500000000,259200,0.3703916915876928,53.216483135359226,0.0032192184270514877
500000000,345600,0.27941361971949835,43.96881729224263,0.0013206043431507437
1000000000,28800,15.249401333688022,39.17908953005782,0.11157354069850026
1000000000,57600,2.59623389998937,46.63399802756148,0.0159349546331173
1000000000,86400,1.6008210767253324,32.593889421582865,0.007646962059943481
1000000000,115200,0.6947623097267381,42.530118367000036,0.003413689813538696
1000000000,144000,0.3346244987006033,40.7235549951071,0.004801899257157484
1000000000,172800,0.35998026141544076,59.28257657887818,0.001908262422453479
1000000000,259200,0.42474397269289405,31.761300871843186,0.0005174860039843422
1000000000,345600,0.2926273333906916,33.029173873821875,0.0018376817050378053
2000000000,28800,6.210577340915379,14.509539302231913,0.07394741831036283
2000000000,57600,2.1555775211656223,26.009394131743836,0.011644756675048678
2000000000,86400,0.6013047219515717,42.907891239988544,0.004110543299580777
2000000000,115200,0.33635902188674055,47.58755398790229,0.0024555216967679836
2000000000,144000,0.26723065873075824,73.28028976576611,0.0012732213395224364
2000000000,172800,0.21531714112070038,47.487568487197045,0.0016038299299556311
2000000000,259200,0.27533873683569826,65.33349203031898,0.000731338931150557
2000000000,345600,0.05610650534488386,51.808750888554144,0.0010202848748931891
4000000000,28800,3.5002871651576704,37.89517439248168,0.010275452239124844
4000000000,57600,0.9186534323963182,44.946153985658185,0.006073785844833777
4000000000,86400,0.3893102964514342,24.28813410673854,0.002729098626127764
4000000000,115200,0.22929036616713228,45.67643724472769,0.0006468023158054256
4000000000,144000,0.1302235716817321,26.2598645694061,0.0009411218968331658
4000000000,172800,0.08931539948901893,15.4230129387747,0.00039453291064023326
4000000000,259200,0.04772147733001088,56.43950399155022,0.00024178264906243236
4000000000,345600,0.04103731093950606,49.329793832231566,0.00025422812179428403
