n0 (1/cm^2),t (s),noisy glucose (mol/m^3),noisy lactate (mol/m^3),noisy oxygen (mol/m^3)
250000000,28800,5.531443051674023,10.222668785742515,0.12484736648785498
250000000,57600,8.80010706036173,39.89337126930851,0.08278528196248683
250000000,86400,1.4796458634624527,38.1564982867439,0.02001368372304676
250000000,115200,2.1252328070963014,45.920172169203184,0.011154491374374952
250000000,144000,1.5663363570350846,26.95035142530533,0.0055217386686966475
250000000,172800,0.5210393309653315,40.336203665355924,0.004269094325811049
250000000,259200,0.40713839071577623,43.472092973354215,0.002330578989629154
250000000,345600,0.31805393352797895,82.22036948638063,0.0018530023455116036
500000000,28800,7.427947309539317,24.996846881722288,0.12422868460558906
500000000,57600,5.708656427033727,74.77412811949081,0.04764560218509931
500000000,86400,2.248697200210833,54.23681980511141,0.01020339083476571
500000000,115200,1.6664151150282351,18.207649666961245,0.010568539152111384
500000000,144000,0.7425334077350346,56.24472552243666,0.0076572316836704644
500000000,172800,0.9449428854797303,36.868919068368236,0.0018004161801371476
500000000,259200,0.642569955389455,32.59093681635834,0.0009877849610211834
500000000,345600,0.08844510329510609,19.751087176253524,0.0030289543459152517
1000000000,28800,12.276525693745862,39.876602281870035,0.13531341753719048
1000000000,57600,3.30252861741194,57.45014621838812,0.0371627228980806
1000000000,86400,1.0703358046442653,54.21141499448813,0.011396620288133093
1000000000,115200,0.6063051252827568,23.954083810291394,0.004340618733069943
1000000000,144000,0.29189534514028526,54.04137036926602,0.004318516157551029
1000000000,172800,0.43814002104547806,59.974399800876355,0.003539298575034806
1000000000,259200,0.22819796715002744,33.00257721122282,0.002375712584637543
1000000000,345600,0.22854064965383217,48.57756828763066,0.0016190892889227997
2000000000,28800,9.384726160791875,33.36608214636433,0.05737299977232305
2000000000,57600,2.3745409910580575,58.18443962344346,0.01286651853152589
2000000000,86400,1.0906404393791327,42.51251179932666,0.004611774522600671
2000000000,115200,0.3909390385802818,34.85229784580314,0.004547633524052973
2000000000,144000,0.2715946008337492,34.42937843020274,0.0026773762540247383
2000000000,172800,0.1988212149530099,19.87211619212112,0.0014791462726867189
2000000000,259200,0.04756757129409224,54.81137449150924,0.0008571814375206184
2000000000,345600,0.29062260109734817,51.077384942834286,0.0007313778764664157
4000000000,28800,2.3922946194663255,28.35455911956734,0.039598497034456594
4000000000,57600,0.7659580666655911,53.41144866275623,0.0017514352865810369
4000000000,86400,0.2552965485776606,18.45850482539768,0.0018427653150891595
4000000000,115200,0.1822109851616702,20.687680865642477,0.0009363367204464994
4000000000,144000,0.10455776411671715,46.5850207113,0.0005567551745882024
4000000000,172800,0.11282342858569935,47.773139826271944,0.0005894343442305449
4000000000,259200,0.04887828746572246,105.97239927942249,0.0004461275668056678
4000000000,345600,0.06415353939070656,59.47758318967196,0.00033228816046655
