n0 (1/cm^2),t (s),noisy cell (mol/m^3)
2000000000,72000,128267050098777.6
2000000000,79200,103346384985417.25
2000000000,86400,87319780484972.14
2000000000,93600,60531567827411.87
2000000000,100800,85894075320226.12
2000000000,108000,50367199784381.04
2000000000,115200,45299993142301.48
2000000000,122400,49274815315760.66
2000000000,129600,46053347842154.7
2000000000,136800,49919741695220.44
2000000000,144000,35439284507784.69
2000000000,151200,38513872051229.49
2000000000,158400,36334906369053.484
2000000000,165600,38378298424019.27
2000000000,172800,25044217463006.316
2000000000,187200,15645078947059.04
2000000000,201600,17606996808621.22
2000000000,216000,10389705842417.668
2000000000,230400,9441366113035.686
2000000000,244800,9613706210992.754
2000000000,259200,6459798830495.199
2000000000,273600,6210725925147.848
2000000000,288000,4289115413313.5527
2000000000,302400,3284239351245.239
2000000000,316800,2959490597524.5024
2000000000,331200,2770298591373.041
2000000000,345600,2742565295311.3843
4000000000,7200,328864670019777.44
4000000000,14400,212303661792770.94
4000000000,21600,198715633246364.84
4000000000,28800,235654677821334.5
4000000000,36000,175049810901603.4
4000000000,43200,205332324667277.78
4000000000,50400,127682875469963.08
4000000000,57600,96824799874246.78
4000000000,64800,153627776519093.75
4000000000,72000,144021104595386.88
4000000000,79200,116366750613811.48
4000000000,86400,120806046722342.97
4000000000,93600,129465674154132.23
4000000000,100800,56143748713629.12
4000000000,108000,56321955756754.78
4000000000,115200,87549143711343.58
4000000000,122400,74005814157940.16
4000000000,129600,55428053874087.15
4000000000,136800,47980636257692.59
4000000000,144000,61971465502507.96
4000000000,151200,25566467932519.805
4000000000,158400,32008933576285.473
4000000000,165600,18438920578370.652
4000000000,172800,28141418748297.324
4000000000,187200,26485055352758.99
4000000000,201600,15604552821939.814
4000000000,216000,13793680454144.486
4000000000,230400,12083868343215.67
4000000000,244800,10305608651750.39
4000000000,259200,7933138013100.332
4000000000,273600,5970667874744.731
4000000000,288000,5980491468382.185
4000000000,302400,2490869525569.322
4000000000,316800,2786961941045.4585
4000000000,331200,1975243372029.8364
4000000000,345600,1592160399388.5525
