n0 (1/cm^2),t (s),noisy cell (mol/m^3)
250000000,7200,31069210415477.93
250000000,14400,66583101819668.195
250000000,21600,73645399524310.4
250000000,28800,90783571268978.23
250000000,36000,138909353458846.83
250000000,43200,152698735151698.38
250000000,50400,144522611549175.4
250000000,57600,196270902987754.56
250000000,64800,72383734742021.67
250000000,72000,165772531890050.84
250000000,79200,98687128342201.28
250000000,86400,105325123568178.45
250000000,93600,117761716776752.61
250000000,100800,70385385092293.53
250000000,108000,77947193259433.4
250000000,115200,95389991753849.86
250000000,122400,61673677925684.31
250000000,129600,77763896470787.36
250000000,136800,57248682709067.9
250000000,144000,45108203684339.07
250000000,151200,38444728288807.11
250000000,158400,37568867966349.336
250000000,165600,31362995084434.902
250000000,172800,37896150583467.47
250000000,187200,23198780962971.918
250000000,201600,18434084221108.66
250000000,216000,18766288891625.035
250000000,230400,11063681224207.936
250000000,244800,11260273808548.688
250000000,259200,9096042835318.064
250000000,273600,6586434940925.7705
250000000,288000,7861859856556.165
250000000,302400,5047263000030.493
250000000,316800,4345172709448.0615
250000000,331200,2222884762323.128
250000000,345600,1750407675688.92
500000000,7200,59898822139299.83
500000000,14400,95511113320685.98
500000000,21600,129186536172824.7
500000000,28800,149672317455064.7
500000000,36000,168545019255575.16
500000000,43200,151767398040790.0
500000000,50400,107720217692284.67
500000000,57600,163178243849995.78
500000000,64800,144757764323284.5
500000000,72000,79718878448918.72
500000000,79200,113773724672096.28
500000000,86400,123955055288081.66
500000000,93600,96565148056828.52
500000000,100800,96897547837883.66
500000000,108000,88602844252722.7
500000000,115200,61530026086127.88
500000000,122400,69312313752470.79
500000000,129600,57969165703249.56
500000000,136800,46807139883875.36
500000000,144000,42491727386050.78
500000000,151200,32949623286724.914
500000000,158400,33483488204045.066
500000000,165600,29738938158226.453
500000000,172800,22837690014041.688
500000000,187200,18746038774966.46
500000000,201600,18831264574705.6
500000000,216000,10456743221409.457
500000000,230400,16106994635601.68
500000000,244800,10242496144606.596
500000000,259200,6332585058487.86
500000000,273600,7588758559186.98
500000000,288000,7760863566642.737
500000000,302400,4933413172473.552
500000000,316800,4285615589680.363
500000000,331200,2833177514744.276
500000000,345600,1913091048234.3386
1000000000,7200,90328947901191.95
1000000000,14400,111383823734155.62
1000000000,21600,218735776788277.03
1000000000,28800,183810104959443.06
1000000000,36000,190341923507282.9
1000000000,43200,152443251318618.03
1000000000,50400,163018175902487.44
1000000000,57600,137038820693362.1
1000000000,64800,118843310115610.02
1000000000,72000,112515779095359.89
1000000000,79200,109289291640357.3
1000000000,86400,85377191160290.48
1000000000,93600,99113950184067.28
1000000000,100800,109654787528592.2
1000000000,108000,87254353956299.56
1000000000,115200,77309257355947.16
1000000000,122400,47685664195116.8
1000000000,129600,57347678673065.086
1000000000,136800,60198268337883.67
1000000000,144000,44827704766374.97
1000000000,151200,32867048818380.598
1000000000,158400,27335768770904.87
1000000000,165600,25939319222644.62
1000000000,172800,25390141235297.27
1000000000,187200,28214808766546.03
1000000000,201600,14578990564954.19
1000000000,216000,13582600701698.346
1000000000,230400,12393466394070.504
1000000000,244800,9604555278867.473
1000000000,259200,6579011204669.933
1000000000,273600,7382035889117.235
1000000000,288000,4167958996604.6426
1000000000,302400,4590486403940.8
1000000000,316800,2759522745244.1455
1000000000,331200,1951124982479.8374
1000000000,345600,1467692539579.8489
2000000000,7200,179199958151258.38
2000000000,14400,161340187067805.56
2000000000,21600,263193149449954.56
2000000000,28800,183518752703313.34
2000000000,36000,253831825033216.1
2000000000,43200,197971349862868.75
2000000000,50400,150372264878682.7
2000000000,57600,168502060486184.62
2000000000,64800,89522979204933.14
